question,optionA,optionB,optionC,optionD,correct_answer
"If a train travels at 60 km/h, how long will it take to cover 180 km?","2 hours","3 hours","4 hours","5 hours","3 hours"
"What is 25% of 400?","75","100","125","150","100"
"Find the next number in the series: 2, 6, 12, 20, 30, ?","40","42","44","48","42"
"A man bought an item for Rs. 800 and sold it for Rs. 1000. What is his profit percentage?","20%","25%","30%","15%","25%"
"If the ratio of boys to girls in a class is 3:2 and there are 30 boys, how many girls are there?","15","18","20","25","20"
"What comes next: 1, 4, 9, 16, 25, ?","30","36","49","64","36"
"A car covers 450 km in 5 hours. What is its average speed?","80 km/h","85 km/h","90 km/h","95 km/h","90 km/h"
"If 8 workers can complete a job in 12 days, how many days will 6 workers take?","14 days","16 days","18 days","20 days","16 days"
"What is the simple interest on Rs. 5000 at 10% per annum for 2 years?","800","900","1000","1100","1000"
"Find the average of 15, 20, 25, 30, 35.","22","24","25","27","25"
"If A is twice as old as B, and B is 15 years old, how old is A?","25","30","35","40","30"
"A number increased by 20% gives 60. What is the number?","48","50","52","55","50"
"What is the LCM of 12 and 18?","24","36","48","72","36"
"If the perimeter of a square is 48 cm, what is its area?","100 sq cm","121 sq cm","144 sq cm","169 sq cm","144 sq cm"
"A bag contains 5 red balls and 3 blue balls. What is the probability of picking a red ball?","3/8","5/8","1/2","2/3","5/8"
"What is the value of (15 + 25) × 2 - 30?","40","50","60","70","50"
"If the cost price is Rs. 500 and selling price is Rs. 450, what is the loss percentage?","8%","10%","12%","15%","10%"
"Find the HCF of 24 and 36.","6","8","10","12","12"
"If 5x + 3 = 28, what is the value of x?","3","4","5","6","5"
"A rectangle has length 12 cm and breadth 8 cm. What is its area?","80 sq cm","88 sq cm","96 sq cm","104 sq cm","96 sq cm"
"What percentage of 150 is 30?","15%","18%","20%","25%","20%"
"Find the compound interest on Rs. 1000 at 10% for 2 years.","200","210","220","230","210"
"If 12 is 30% of a number, what is the number?","36","40","44","48","40"
"A train 200m long passes a platform 300m long in 25 seconds. What is its speed?","18 km/h","72 km/h","54 km/h","36 km/h","72 km/h"
"What is the square root of 196?","12","13","14","15","14"
"If today is Monday, what day will it be after 100 days?","Monday","Tuesday","Wednesday","Thursday","Wednesday"
"A shopkeeper marks up an item by 25% and gives a discount of 10%. Find the profit percentage.","12%","12.5%","15%","10%","12.5%"
"Find the missing number: 3, 9, 27, 81, ?","162","216","243","324","243"
"If log 2 = 0.301, what is log 8?","0.602","0.903","1.204","2.408","0.903"
"Two pipes can fill a tank in 10 hours and 15 hours respectively. How long will both take together?","5 hours","6 hours","7 hours","8 hours","6 hours"
"What is 3/4 of 5/6?","5/8","15/24","7/12","9/16","5/8"
"If the diagonal of a square is 10 cm, what is its area?","25 sq cm","50 sq cm","75 sq cm","100 sq cm","50 sq cm"
"A man walks 4 km north, then 3 km east. How far is he from the starting point?","5 km","6 km","7 km","8 km","5 km"
"If the sum of two numbers is 20 and their difference is 4, find the larger number.","10","11","12","14","12"
"What is the mode of: 2, 3, 4, 4, 5, 5, 5, 6?","3","4","5","6","5"
"A clock shows 3:15. What is the angle between the hour and minute hands?","0°","7.5°","15°","22.5°","7.5°"
"If a:b = 2:3 and b:c = 4:5, what is a:c?","8:15","6:15","4:5","2:5","8:15"
"The median of 3, 7, 2, 9, 5 is:","3","5","7","9","5"
"A sum doubles in 6 years at simple interest. What is the rate?","12.5%","15%","16.67%","20%","16.67%"
"If the radius of a circle is doubled, its area becomes:","2 times","3 times","4 times","8 times","4 times"
"Find the value of 2^3 × 3^2.","36","54","72","108","72"
"A boat travels 20 km upstream in 4 hours. If the speed of stream is 2 km/h, what is the speed of boat in still water?","5 km/h","6 km/h","7 km/h","8 km/h","7 km/h"
"What is the next prime number after 23?","25","27","29","31","29"
"If the volume of a cube is 64 cubic cm, what is its edge?","2 cm","3 cm","4 cm","5 cm","4 cm"
"A school has 480 students. If 60% are boys, how many girls are there?","180","192","200","288","192"
"Find the smallest 4-digit number divisible by 12.","1000","1004","1008","1012","1008"
"If x + y = 10 and xy = 21, find x² + y².","58","62","68","72","58"
"What is the sum of first 10 natural numbers?","45","50","55","60","55"
"A mixture contains milk and water in ratio 4:1. If 5 liters of water is added, the ratio becomes 4:3. Find the quantity of milk.","8 liters","10 liters","12 liters","16 liters","10 liters"
"The angle of elevation of the sun when the shadow of a pole equals its height is:","30°","45°","60°","90°","45°"
